epoch,g_loss,d_loss,val_l1,lr,time_sec
1,26.900371,0.570979,0.224237,0.0005,164.78
2,25.807291,0.527424,0.235899,0.0005,43.56
3,24.738804,0.514305,0.23906,0.0005,43.47
4,23.824502,0.523606,0.224424,0.0005,43.56
5,23.204849,0.538734,0.233865,0.0005,43.51
6,23.012509,0.543257,0.241559,0.0005,43.95
7,22.71221,0.554686,0.223536,0.0005,43.63
8,22.521334,0.555988,0.217322,0.0005,43.75
9,22.240589,0.552815,0.228922,0.0005,43.78
10,22.061956,0.551225,0.222093,0.0005,43.83
11,21.917596,0.554495,0.238292,0.0005,43.52
12,21.75906,0.559014,0.218319,0.0005,43.08
13,21.744741,0.550101,0.240151,0.0005,43.3
14,21.574568,0.55399,0.215852,0.0005,43.32
15,21.593972,0.543356,0.213213,0.0005,43.4
16,21.460659,0.55384,0.225532,0.0005,43.66
17,21.428696,0.53483,0.236579,0.0005,43.33
18,21.275467,0.536876,0.227046,0.0005,43.63
19,21.306698,0.527065,0.208722,0.0005,43.48
20,21.439237,0.529657,0.244025,0.0005,43.6
21,21.360805,0.528032,0.221789,0.0005,43.56
22,21.344499,0.512494,0.228526,0.0005,43.23
23,21.335816,0.522425,0.224373,0.0005,43.34
24,21.258558,0.522833,0.219112,0.0005,43.09
25,21.258114,0.516004,0.234561,0.0005,42.77
26,21.190505,0.516069,0.217997,0.0005,43.52
27,21.146038,0.511345,0.224754,0.0005,43.38
28,21.060221,0.513392,0.217814,0.0005,43.07
29,21.030625,0.529648,0.218836,0.0005,43.19
30,21.196791,0.483586,0.230996,0.0005,43.39
31,21.13674,0.505584,0.222635,0.0005,43.79
32,21.221238,0.499469,0.219447,0.0005,43.42
33,21.117944,0.48527,0.22206,0.0005,43.64
34,21.076025,0.509813,0.218976,0.0005,43.36
35,21.13183,0.476118,0.221989,0.0005,43.64
36,21.079966,0.492299,0.218999,0.0005,43.54
37,21.045773,0.486426,0.226076,0.0005,43.22
38,21.11187,0.475013,0.219,0.0005,43.93
39,21.145079,0.484726,0.227336,0.0005,43.69
40,20.984093,0.493973,0.218052,0.0005,43.58
41,21.027912,0.477731,0.226808,0.0005,44.05
42,21.115445,0.458241,0.219813,0.0005,44.03
43,21.14014,0.486829,0.228681,0.0005,43.77
44,21.193269,0.443998,0.223791,0.0005,43.84
45,21.09032,0.495961,0.228789,0.0005,43.87
46,21.120913,0.440476,0.215939,0.0005,43.47
47,21.249643,0.430174,0.224937,0.0005,43.45
48,21.09906,0.470785,0.214301,0.0005,43.52
49,21.300831,0.435631,0.221349,0.0005,43.47
50,21.248734,0.440618,0.224272,0.0005,44.07
51,21.318874,0.411164,0.221954,0.0005,43.49
52,21.182172,0.462893,0.219596,0.0005,43.58
53,21.479992,0.415654,0.226009,0.0005,43.47
54,21.402631,0.4358,0.219274,0.0005,43.28
55,21.559657,0.396806,0.21495,0.0005,43.73
56,21.639583,0.384258,0.22322,0.0005,43.9
57,21.466706,0.434355,0.227724,0.0005,43.77
58,21.472263,0.389837,0.218765,0.0005,43.82
59,21.265171,0.502071,0.228718,0.0005,43.32
60,21.482391,0.384904,0.223797,0.0005,44.01
61,21.390543,0.421965,0.221069,0.0005,43.94
62,21.615898,0.3758,0.218867,0.0005,43.69
