config_idx,learning_rate,batch_size,lambda_l1,val_l1
1,0.0001,16,50,0.247129
2,0.0001,16,100,0.24482
3,0.0001,16,150,0.23878
4,0.0001,32,50,0.25622
5,0.0001,32,100,0.239251
6,0.0001,32,150,0.233967
7,0.0001,64,50,0.253558
8,0.0001,64,100,0.243753
9,0.0001,64,150,0.231464
10,0.0002,16,50,0.244359
11,0.0002,16,100,0.236379
12,0.0002,16,150,0.234822
13,0.0002,32,50,0.241599
14,0.0002,32,100,0.237664
15,0.0002,32,150,0.226672
16,0.0002,64,50,0.255293
17,0.0002,64,100,0.222571
18,0.0002,64,150,0.235464
19,0.0005,16,50,0.245084
20,0.0005,16,100,0.279708
21,0.0005,16,150,0.223826
22,0.0005,32,50,0.250299
23,0.0005,32,100,0.225901
24,0.0005,32,150,0.220474
25,0.0005,64,50,0.234753
26,0.0005,64,100,0.23231
27,0.0005,64,150,0.234409
