config_idx,learning_rate,batch_size,lambda_l1,val_l1
1,0.0001,16,50,0.251518
2,0.0001,16,100,0.241651
3,0.0001,16,150,0.25383
4,0.0001,32,50,0.254728
5,0.0001,32,100,0.247177
6,0.0001,32,150,0.24208
7,0.0001,64,50,0.251514
8,0.0001,64,100,0.240314
9,0.0001,64,150,0.242942
10,0.0002,16,50,0.243142
11,0.0002,16,100,0.23724
12,0.0002,16,150,0.24258
13,0.0002,32,50,0.257461
14,0.0002,32,100,0.242218
15,0.0002,32,150,0.233527
16,0.0002,64,50,0.246616
17,0.0002,64,100,0.235718
18,0.0002,64,150,0.238263
19,0.0005,16,50,0.246515
20,0.0005,16,100,0.244579
21,0.0005,16,150,0.239754
22,0.0005,32,50,0.233873
23,0.0005,32,100,0.226234
24,0.0005,32,150,0.237308
25,0.0005,64,50,0.246948
26,0.0005,64,100,0.227431
27,0.0005,64,150,0.236217
