epoch,g_loss,d_loss,val_l1,lr,time_sec
1,35.822439,0.480297,0.225518,0.0005,27.71
2,34.440287,0.443546,0.219931,0.0005,27.74
3,34.080186,0.439855,0.219413,0.0005,27.38
4,34.064758,0.452016,0.218596,0.0005,27.39
5,33.615172,0.454483,0.220891,0.0005,27.69
6,33.491724,0.458259,0.222697,0.0005,27.46
7,33.264924,0.458937,0.221608,0.0005,27.26
8,32.897833,0.468871,0.224874,0.0005,27.24
9,32.783284,0.473621,0.20809,0.0005,27.55
10,32.464221,0.478102,0.207124,0.0005,27.68
11,32.35293,0.468349,0.214395,0.0005,28.31
12,32.37503,0.471765,0.227572,0.0005,28.35
13,32.265835,0.466277,0.208234,0.0005,27.73
14,32.295188,0.460202,0.21609,0.0005,27.63
15,32.145334,0.454164,0.215698,0.0005,27.71
16,32.099865,0.458462,0.215298,0.0005,27.88
17,31.990905,0.453584,0.214722,0.0005,27.63
18,31.950124,0.440891,0.215605,0.0005,27.56
19,31.999907,0.437575,0.22432,0.0005,27.51
20,31.896408,0.455429,0.212586,0.0005,27.73
21,31.912856,0.419966,0.210674,0.0005,27.84
22,31.81751,0.422752,0.204503,0.0005,27.75
23,31.777226,0.428789,0.214529,0.0005,27.62
24,31.700694,0.432803,0.207939,0.0005,27.7
25,31.685782,0.404326,0.209826,0.0005,27.78
26,31.733941,0.405791,0.218499,0.0005,27.73
27,31.650774,0.435039,0.222612,0.0005,27.68
28,31.819191,0.395488,0.209212,0.0005,27.7
29,31.716368,0.374013,0.220106,0.0005,27.64
30,31.714035,0.447441,0.208727,0.0005,27.69
31,31.518246,0.37399,0.213626,0.0005,27.76
32,31.733354,0.347898,0.210969,0.0005,27.79
33,31.633146,0.392116,0.209072,0.0005,27.8
34,31.637284,0.373917,0.209437,0.0005,27.8
35,31.572171,0.426718,0.213694,0.0005,27.77
36,31.636779,0.321935,0.217056,0.0005,27.87
37,31.703626,0.380248,0.209815,0.0005,27.59
38,31.552528,0.346639,0.217971,0.0005,27.88
39,31.694155,0.377341,0.210946,0.0005,27.67
40,31.677995,0.335647,0.213548,0.0005,27.51
41,31.805898,0.317405,0.22298,0.0005,27.68
42,31.844944,0.335996,0.203163,0.0005,27.58
43,31.829063,0.309461,0.217938,0.0005,27.73
44,31.532025,0.434612,0.211651,0.0005,27.64
45,31.874606,0.2877,0.215819,0.0005,27.62
46,32.021472,0.305801,0.214017,0.0005,27.3
47,31.459789,0.401598,0.212847,0.0005,27.45
48,31.902846,0.257914,0.217531,0.0005,27.86
49,31.216765,0.45308,0.21561,0.0005,27.73
50,31.828798,0.246859,0.206324,0.0005,27.51
51,31.550193,0.369532,0.202384,0.0005,27.77
52,31.81049,0.286787,0.212094,0.0005,27.79
53,31.896904,0.264957,0.213117,0.0005,27.56
54,31.366585,0.439023,0.215871,0.0005,27.74
55,31.699605,0.265032,0.200079,0.0005,27.65
56,31.875728,0.265725,0.214341,0.0005,27.83
57,31.824565,0.246221,0.215691,0.0005,27.83
58,31.068064,0.45719,0.213343,0.0005,27.64
59,31.812765,0.294805,0.218803,0.0005,28.0
60,31.737798,0.259765,0.211909,0.0005,27.71
61,31.839182,0.25977,0.212434,0.00049,27.53
62,31.692059,0.351365,0.208045,0.00048,27.85
63,31.610013,0.27822,0.212241,0.00047,27.84
64,31.644111,0.239072,0.21883,0.00046,27.94
65,31.847136,0.23544,0.209271,0.00045,27.88
66,31.713535,0.257689,0.212468,0.00044,27.58
67,31.100264,0.521238,0.212347,0.00043,27.61
68,31.320769,0.211832,0.213315,0.00042,27.88
69,31.512066,0.21336,0.210589,0.00041,27.83
70,31.565122,0.233212,0.213431,0.0004,28.0
71,31.33817,0.305733,0.209921,0.00039,27.96
72,31.48852,0.206802,0.2128,0.00038,28.19
73,31.605573,0.205119,0.209042,0.00037,28.26
74,31.326343,0.377231,0.208575,0.00036,28.32
75,31.340814,0.204346,0.211812,0.00035,28.15
76,31.386967,0.240494,0.211713,0.00034,28.15
77,31.454137,0.191798,0.211494,0.00033,28.53
78,31.343676,0.263303,0.210297,0.00032,27.97
79,31.368608,0.186521,0.214279,0.00031,27.87
80,31.410896,0.21733,0.211795,0.0003,28.55
81,31.442217,0.18462,0.210179,0.00029,28.01
82,31.399408,0.182611,0.209911,0.00028,27.66
83,31.469119,0.167769,0.21125,0.00027,27.42
84,31.48204,0.175824,0.210483,0.00026,27.54
85,31.478869,0.274804,0.210405,0.00025,27.58
86,31.222412,0.15688,0.206112,0.00024,27.64
87,31.369109,0.16308,0.209709,0.00023,27.91
88,31.388992,0.16418,0.212313,0.00022,28.16
89,31.35635,0.157548,0.208462,0.00021,27.46
90,31.341816,0.171094,0.211367,0.0002,27.65
91,31.332492,0.144841,0.209433,0.00019,27.29
92,31.367101,0.148733,0.211507,0.00018,27.43
93,31.35948,0.14041,0.210277,0.00017,28.6
94,31.35472,0.151126,0.20796,0.00016,27.72
95,31.284779,0.127064,0.208178,0.00015,28.6
96,31.251604,0.132808,0.208475,0.00014,27.73
97,31.202203,0.125125,0.209968,0.00013,27.71
98,31.279269,0.11434,0.210319,0.00012,27.67
99,31.273575,0.12331,0.20997,0.00011,27.83
100,31.172711,0.114075,0.209423,0.0001,27.8
